No.	单词	解释
1	voyager	v. i. 1. 旅行； 游历： voyager par mer 做一次海上旅行Il a beaucoup voyagé. 他游历过很多地方。 2. 作旅行推销voyager pou...
2	mignon	mignon, ne a. 1. 娇小可爱的， 娇美的， 优美的mignon comme tout un cœur 非常可爱的 2. 亲切可爱的， 和悦的， 讨人喜欢的， 好玩...
3	côté	n. m. 1. 肋，胸侧，体侧douleur dans le côté droit 胸部右侧疼痛 dormir sur le ~ 侧睡 2. 旁，侧côté sous l...
4	tombée	n.f. 1. 落下, 降下 tombée de la neige下雪 tombée des feuilles落叶 tombée du jour日暮 à la to...
5	préparer	v. t. 1. 准备， 预备， 筹备： préparer toutes les conditions requises pour la tenue d'une conférence ...
6	venue	n.f. 1. 来, 来到, 来临, 降临 allées et venues来回奔跑;到处奔波 la venue du printemps春天的来临 2. 生长, ...
7	garer	v. t. 1. 停放； 把开进站， 把开进停车或车库， 把开进焦泊站： garer un train 分列车开进站garer une automobile dans la rue 把汽车...
8	panne	n.f. 1平绒； 帆； 2肉膘； 3锤头； 锤尖， 锤顶4故障， 抛锚； 5 être en ～ 发生故障； 6 être en～de qch．缺少某物écrivain en pa...
9	réparer	v. t. 1. 修理， 修复； 修补： réparer une montre 修表réparer une voiture en panne 修理一辆抛锚的车子réparer une ...
10	récemment	adv. 最近， 新近 L'avion a subi récemment un contrôle général sans qu'aucune anomalie n'ait été...
11	reste	m. 1其余, 剩余, 残余 le reste de sa vie 余生 les reste des hommes 其他人 Ne vous occupez pas du re...
12	suffisant	suffisant, e a. 1. 足够的;充分的 Cette somme est suffisante.这个数目够了。 suffisant pour足够, 足以 ...
13	débrouiller	v. t. 1. 整理， 清理： débrouiller les fils d'un écheveau 把乱了的线团理好débrouiller des comptes 清理帐目 2. 澄清...
14	fille	n. f. 1. 女儿fille cadette 小女儿 fille adoptive 养女 2. 后裔， 后代fille d'Eve 夏娃的后代 3. 女孩，姑娘，少...
15	pouvoir	v. aux. 1. 能， 能够， 会： Pouvez-vous nager? 你会游泳吗？Puis-je vous être utile? 我能帮你些忙吗？Je ne puis...
16	devoir	v. t. 1. 欠， 该， 负： devoir de l'argent 欠钱devoir des marchandises 欠货Vous lui devez cent francs....
17	commis	n.m. 1. 职员, 办事员, 店员, 伙计 commis de bureau办公室职员, 办事员 commis de magasin店员, 售货员 commis a...
18	grosse	n.f. 1. 大字;大号字体 2. 〈旧语，旧义〉用大字书写的文件、判决书等的副本或抄本 3. 十二打, 罗 une grosse de boutons一罗钮扣 ...
19	erreur	n. f. 错, 错误, 谬误, 差错; 谬论, 谬见, 误想, 误信, 误解; 过失, 过错, 疏忽, 失策 ce livre est un tissu d'erreurs....
20	épouser	v. t. 1. 娶， 嫁， 和…结婚； 〔宾语省略］结婚： épouser une grosse dot ［引］为获得一大笔嫁妆而娶妻 2. ［转］赞同， 支持， 拥护： épous...
21	avis	n. m. 1. 见解， 意见； 主意 exprimer mon avis 发表我的意见 faire changer d'avis à qn 使某人改变主意 2. 劝告...
22	apparemment	adv. 1. 外表上 2. 表面上， 从外表看， 看来； 大概， 似乎 Apparemment il a renoncé. 看来他放弃了。 Apparemment, au...
23	ne ...plus	没有任何价值 Ex. une vieille baraque qui ne vaut pas tripette
24	voir	v. t. dir. 1. 看见， 看到： voir un tracteur 看见一台拖拉机 voir qch de ses yeux 亲眼看见某物 Je le vois...
25	appartement	n.m. 成套房间 appartement meublé备有家具的套房 appartement -témoin样板房 Il y a deux appartements p...
26	facteur	facteur , trice n. 1.制造商: facteur d'orgues 制造管风琴的人 2.经纪人，代理商 3. 投递员，邮递员: fac...
27	aucun	aucun, e a.indéf. 1. 〈书面语〉 任何的, 某种的, 某个的 Je doute qu'aucun danger le menace. 我不相信有某种危险在威...
28	rond	rond, e a. 圆的；整的； 圆胖的， une jeune fille ronde 丰满的女孩子 un ventre rond 圆滚滚的肚子 des yeux rond...
29	expliquer	v. t. 说明， 阐明， 解释： expliquer un auteur 讲解一个作家的作品expliquer sa conduite 为自己的行为作解释expliquer ses ...
30	explication	n.f. 1. 说明, 解释 l'explication d'un point difficile对某一难点的解释 explication jointe à un texte原...
31	conduire	v. t. 1. 带领， 引导， 陪送： conduire un enfant à l'école 送小孩上学conduire qn en prison 押送某人入狱conduire ...
32	conseil	n. m 1劝告， 忠告； 建议， 意见， 主意prendre conseil auprès de quelqu'un 征求某人的意见，向某人请教 2驱使， 指使3决定， 决心...
33	service	n.m. 1. 服务;服役;勤务, 公务 avoir trente ans de service 供职30年 faire son service dans la marine...
34	dispensable	a. 可免除的， 可免去的 www.fr ancoc hino is.co m 版 权 所 有
35	indispensable	a. 1. 〈旧语，旧义〉推卸不了的 devoir indispensable 责无旁贷的义务 2. 〈引申义〉必不可少的, 必需的, 必要的 connaissanc...
36	apprentissage	n. m. 学手艺, 当学徒, 见习; 学徒身份, 见习生身份; 学徒期, 见习期; Faire l'~ de qqch 开始学作某事, 遇到某事, 面临某事
37	plusieurs	a.indéf.pl. 几个, 好几个 plusieurs fois好几次 plusieurs personnes好些人 à plusieurs reprises几次三番...
38	incapable	a. 1. 不会的;不能的 être incapable de faire qch.没有做某事的能力 rendre qn incapable de faire qch.阻碍某人...
39	capable	a. 1. 〈旧语，旧义〉能接受的, 能容忍的 2. 能够…的, 可以…的, 很可能…的, 能够做…的, 能够有…的 capable d'une action d'éclat...
40	nécessaire	a. 必需的， 必要的； 必然的， 必定的， 一定的 L'eau est nécessaire à la vie. 水是生命所必需的 Conséquence nécessaire 不...
41	demander	v. t. 1. 要求， 请求： demander à qn un papier 向某人要一张纸 Je lui demande mon stylo. 我向他讨还钢笔。 d...
42	comme	conj. 1. 好像， 如同， 犹如fier comme un paon 像孔雀一样骄傲 Il a réussi comme son frère. 他和他的兄弟一样成功了。 com...
43	mériter	v. t. dir. 1. 应得， 值得： L'expérience historique mérite attention. 历史的经验值得注意。 mériter une récom...
44	avance	n.f. 1. 〈旧语，旧义〉突出部分, 伸出部分 2. 前进 l'avance d'une armée 部队的前进 3. 超前的距离 avoir deux...
45	intermédiaire	a. 中间的, 居间的 chaînons intermédiaires d'une évolution进化过程中的各个中间环节 terrain intermédiaire 中间...
46	débutant	débutant, e a. 初出茅庐的；初显身手的 n. 新手，开始者；新就职者，初学者 n.f. 初次参加社交活动的少女 deb] 常见用法u...
47	inférieur	inférieur, e a. 1. 下面的;下部的;下方的;下游的 partie inférieure d'un édifice建筑物的下部 étages inférieur...
48	supérieur	a. 1. 上面的， 上部的； 上游的 partie ~e 上部 lèvre ~e 上唇 membres ~s 上肢 2. 较多的， 较大的 être ~ en ...
49	mettre	v. t. 1. 放置， 摆， 搁： Mettez ce stylo là. 请把这支钢笔放在那儿。 mettre une lettre à la boîte aux lettres ...
50	niveau	pl.~x n.m. 1. 水平仪， 水准仪 niveau à bulle d'air 气泡水平仪 niveau à lunette 定镜水准仪 niveau d'eau 水...
51	reculer	v. t. 1. 使后退， 把…往后移动： reculer sa chaise 把自己的椅子往后移动 2. 延伸， 向外推移： reculer un mur 把墙向外推移 3. 推迟， ...
52	avancer	v. t. 1. 向前移， 使前进： avancer une chaise 把椅子向前挪avancer un pion sur l'échiquier 在棋盘上进卒 2. 使进步， ...
53	croire	v. t. dir. 1. 相信： croire une histoire 相信一件虚构的事Je crois ce que vous dites. 我相信你说的。 Je vous c...
54	histoire	n.f. 1. 历史, 史;历史学 histoire ancienne 古代 史 histoire générale通史 histoire de la philosop...
55	maîtresse	n. f. 1. 情人； 未婚妻2. 情妇 avoir une maîtresse 有个情妇 Ils sont amant et maîtresse. 他们是情夫，情妇关系。 ...
56	quartier	n.m. 1. 四分之一部分，约四分之一部分 couper une pomme en quatre quartiers 把苹果切成四份 2. 块，片，相当一部分 un ...
57	rencontrer	v. t. 1. 碰见， 遇见： rencontrer un ami dans la rue 在街上碰见一位朋友 son regard rencontra le mien. ...
58	copain	copain, copine n. 1. 同学2. 伙伴， 朋友une bande de copains 一群伙伴 une petite copine 情人 3. 恋爱对象...
59	copine	copain,e n. 1.同学 2.伙伴， 朋友 3.恋爱对象 常见用法 être copain avec qqn 和某人是朋友
60	il y a	ph. 有, 存在 常见用法 il n'y a pas de quoi不用客气 il y a dix ans十年以前 法语 助 手
61	déranger	v. t. 1. 弄乱， 搞乱： déranger les livres d'une bibliothèque 把书橱内的书弄乱 2. 使混乱， 使紊乱， 打乱： Cet incident...
62	ranger	v. t. 1. 使排成队伍， 使排成行： ranger des troupes en ordre de bataille 把部队排成作战队形 2. 排列， 整理， 放...
63	aller	v. i. 1. 去， 走： aller à bicyclette 骑自行车去 aller à cheval 骑马去 aller en auto 乘汽车去 alle...
64	étude	n. f. 1. 学, 学习： son ardeur à l'étude 他的学习热情 2. 研究，调研；审查,考察: l'étude de la nature 对...
65	revenir	v. i. 1. 再来： Je reviens vous chercher. 我再来找你。 Le docteur promit de revenir le lendemain. 医生答...
66	frange	n.f. 1. 流苏, 穗子;流苏状的东西 rideau à franges带流苏的帘子 frange 刘海 2. 条纹 franges d'interfére...
67	tresse	n. f. 1 发辫、辫子~s pendantes垂下的辫子 ~s en chignon盘成发髻的辫子 fille qui a deux ~s dans le dos背上拖着...
68	américaine	a. 1. 美洲的： le continent ~ 美洲大陆 2. 美国的； 美国人的： football ~ 美式橄榄球 le quart d'heure ~ 女...
69	américain	américain, e adj. 1. 美洲的 le continent américain 美洲大陆 2. 美国的； 美国人的 football/rugby ...
70	brune	n. f. 1. 黑啤boire une brune 喝一杯黑啤 2. 棕色烟丝的卷烟fumer des brunes 吸黑烟丝香烟 3. 傍晚， 黄昏 à la ...
71	frisée	n. f 1皱叶菊苣 2皱叶菊苣色拉 a. 1卷曲的， 卷起的 2鬈发的 常见用法 des cheveux frisés卷发
72	à peine	loc. adv. 几乎不, 勉强, 刚刚 常见用法 j'ai à peine commencé我刚刚开始 c'est à peine s'il m'a remerci...
73	coiffure	n.f. 1. 帽子, 头巾, 头饰 mettre sa coiffure 戴帽子, 戴头巾 coiffures militaires军帽 2. 发式, 发型 ...
74	pleuvoir	v. impers. 1. 下雨： Il pleut. 下雨了。 Ça pleut. 下雨了。 Il pleuvait à verse 下着倾盆大雨。 pleuvoir comme ...
75	au moment où	loc. adv. 只得到膳宿而没有报酬 travailler au pair 只得到膳宿而没有工资的家庭工作 loc.adj.inv. 只得到膳宿而没有报酬的 la je...
76	toujours	adv. 1 总是，一直； Il est toujours en retard 他总是迟到 Il aime toujours sa femme 他一直爱着自己的妻子 Cet...
77	autrefois	adv. 过去， 以前， 从前， 往昔 les mœurs d'autrefois 往昔的风俗 Il a été autrefois un excellent boxeur. ...
78	fumer	v. i. 1. 冒烟， 发烟： Ce volcan fume continuellement. 这座火山在不断冒烟。 Ce bois fume en brûlant. 这木柴燃烧时有...
79	tireur	tireur, se n. 1. 〈罕用语〉拉曳者, 牵引者;拉丝工 tireur d'or拉金丝工人 2. 印刷者;晒印者 photographe tireur d...
80	banane	n.f. 1. 香蕉 glisser une peau de banane à qn〈转义〉叫某人栽个跟斗 2. 〈口语〉军功章, 勋章 3. 挡块 4....
81	en bas	1. 东倒西歪； 向下的下； 下去； 降下往下； 沿着丘陵； 软毛； 开阔的高地； 时运等的变化 2. 下； 在……之下； 在…下方在……下面在……之下； 在……影响下； 比……低劣； 在...
82	seul	seul, e a. 1. 单独的, 独自的 être seul dans la maison独自一人在家 parler tout seul 自言自语 être...
83	croiser	v. t. 1. 使交叉， 使相交： croiser les bras 把双臂交叉在胸前， 抄着手 croiser les bras 无所事事； 袖手旁观croiser le fer ...
84	escalier	n.m. 1. 楼梯, 扶梯 escalier d'honneur 主楼梯 escalier de service便梯, 侧梯, 后楼梯 escalier roulant...
85	bas	bas, basse adj. 1. 低的, 矮的；浅的 Il marche la tête basse. 他低着头走路。 maison basse 矮房子 appar...
86	mètre	n.m. 1. 米, 公尺 Ça se vend au mètre .这个以米为单位出售。 mètre carré 平方 米 mètre par seconde米/...
87	cambrioleur	cambrioleur, euse n. m 撬窃贼， 破门盗窃犯 常见用法 l'emprisonnement d'un cambrioleur一个盗窃犯的监禁 法 语 助手
88	là-bas	adv. 1. 在下面；在地狱里 2. 在那儿 Là-bas, dans la vallée, tout est sombre. 那边，在山谷里，一切都是昏暗的。
89	beau	beau, bel, belle, beaux, belles adj. 1. 美丽的, 漂亮的, 好看的, 优美的bel homme 漂亮的男子 belle voix 优美的嗓子...
90	dommage	n. m. 1. 损失； 损害Un incendie a causé de légers dommages à un immeuble. 火灾对这栋居民楼造成了轻微损害。 ...
91	grand	grand, e a. 1. 大的, 巨大的, 高大的 grand arbre大树 grand édifice高大的建筑物 homme grand 高个子的男人 g...
92	trente	a.num.card.inv. 三十 un homme de trente ans一个30岁的男子 — a.num.ord.inv. 第三十 numéro tre...
93	nouveau	f.sing.nouvelle, m.pl.nouveaux, f.pl.nouvelles a. 1. 新出现的, 初次显露的;新创的;新制成的 les pousses nouve...
94	rêve	n. m 1. 梦；梦到的事物 en ~ 在梦中：voir en ~ 梦见 2. 梦想，幻想； 理想，愿望 faire des ~s 梦想，幻想 pours...
95	bague	n. f. 1. 戒指，指环 ~ de fiançailles 订婚戒指 2. 环状物；环，圈，套圈 3. 环标 常见用法 une bague en or一枚金...
96	montre	n. f 1 手表montre de poche 怀表 remonter sa montre 给表上发条 montre en main 准时，正好；正好，足足 j'ai mi...
97	chaussette	n.f. 1. 短统袜 chaussettes de laine 羊毛 袜 chaussettes russes包脚布 chaussettes à clous〈俗语〉钉...
98	extraverti	extraverti, e adj. et n. 性格外向的, 性格外倾的, 好社交的
99	ouvert	ouvert, e a. 1. 开着的, 张开的;展开的, 摊开的 porte grande ouverte敞开着的门 valise ouverte打开的手提箱 s...
100	introverti	introverti, e adj. et n. 性格内向的, 性格内倾的, 不好社交的
101	renfermé	renfermé, e a. 1. 隐藏的, 不流露的 2. 沉默寡言的, 性格内向的 — n.m. 霉味 Cette chambre sent le r...
102	timide	a. 1. 羞怯的, 腼腆的, 害羞的 enfant timide 腼腆的小孩 air timide 羞怯的神情 2. 胆怯的, 不果断的, 畏畏缩缩的 car...
103	drôle	adj. 1. 滑稽的， 有趣的， 好笑的histoires drôles 有趣的故事 Ce qu'il est drôle, avec ce petit chapeau. 他戴了这...
104	gentil	gentil, le a. 1. 出身高贵的； 高尚的； 勇敢的 2. 客气的， 优雅的， 美丽的， 可爱的， 讨人喜欢的， 令人愉快的 une gentille petite...
